number,product_url,already_scraped
38,https://www.amazon.com.mx/El-Libro-Salvaje-Juan-Villoro/dp/6071600014/ref=zg_bs_g_books_sccl_38/137-7391295-0351748?psc=1,yes
39,https://www.amazon.com.mx/H%C3%A1bitos-at%C3%B3micos-TD-James-Clear/dp/6075691251/ref=zg_bs_g_books_sccl_39/137-7391295-0351748?psc=1,yes
40,https://www.amazon.com.mx/control-mental-siempre-querido-alcance/dp/6073826303/ref=zg_bs_g_books_sccl_40/137-7391295-0351748?psc=1,yes
41,https://www.amazon.com.mx/Alas-sangre-Emp%C3%ADreo-Rebecca-Yarros/dp/6073901801/ref=zg_bs_g_books_sccl_41/137-7391295-0351748?psc=1,yes
42,https://www.amazon.com.mx/Las-48-leyes-del-poder/dp/6075276912/ref=zg_bs_g_books_sccl_42/137-7391295-0351748?psc=1,yes
43,https://www.amazon.com.mx/Col-Tareas-Recortar-Liliana-Quijano/dp/B01JOGDKWA/ref=zg_bs_g_books_sccl_43/137-7391295-0351748?psc=1,yes
44,https://www.amazon.com.mx/MAGICO-LECTOESCRITURA-Carmen-Espinosa-Elenes/dp/6079659778/ref=zg_bs_g_books_sccl_44/137-7391295-0351748?psc=1,yes
45,https://www.amazon.com.mx/libro-biling%C3%BCe-Montessori-Barusseau-Francesa/dp/6072124704/ref=zg_bs_g_books_sccl_45/137-7391295-0351748?psc=1,yes
46,https://www.amazon.com.mx/Netter-Cuaderno-neurociencia-para-colorear/dp/8491134573/ref=zg_bs_g_books_sccl_46/137-7391295-0351748?psc=1,yes
47,https://www.amazon.com.mx/Toy-Story-4-Actividades-Colorear/dp/6072121799/ref=zg_bs_g_books_sccl_47/137-7391295-0351748?psc=1,yes
48,https://www.amazon.com.mx/Quiet-Power-Introverts-World-Talking/dp/0307352153/ref=zg_bs_g_books_sccl_48/137-7391295-0351748?psc=1,yes
49,https://www.amazon.com.mx/Viajar-cambiar%C3%A1-vida-Alan-Estrada/dp/6070748514/ref=zg_bs_g_books_sccl_49/137-7391295-0351748?psc=1,yes
50,https://www.amazon.com.mx/Netter-Flashcards-anatom%C3%ADa-6%C2%AA-ed/dp/8413823870/ref=zg_bs_g_books_sccl_50/137-7391295-0351748?psc=1,yes
51,https://www.amazon.com.mx/Biblia-estudio-MacArthur-John-Macarthur/dp/1602559392/ref=zg_bs_g_books_sccl_1/137-7391295-0351748?psc=1,yes
52,https://www.amazon.com.mx/Merriam-Webster-Dictionary-Merriam-Webster/dp/0877796688/ref=zg_bs_g_books_sccl_2/137-7391295-0351748?psc=1,yes
53,https://www.amazon.com.mx/Valent%C3%ADa-Kelbin-Torres/dp/9974878063/ref=zg_bs_g_books_sccl_3/137-7391295-0351748?psc=1,yes
54,https://www.amazon.com.mx/poder-del-metabolismo-Nueva-edici%C3%B3n/dp/0988221802/ref=zg_bs_g_books_sccl_4/137-7391295-0351748?psc=1,yes
55,https://www.amazon.com.mx/BusinessCoach%C2%AE-instructivo-iniciar-administrar-negocio/dp/6079879123/ref=zg_bs_g_books_sccl_5/137-7391295-0351748?psc=1,yes
56,https://www.amazon.com.mx/Las-heridas-que-impiden-mismo/dp/6070778642/ref=zg_bs_g_books_sccl_6/137-7391295-0351748?psc=1,yes
57,https://www.amazon.com.mx/liberaci%C3%B3n-del-alma-viaje-all%C3%A1/dp/8484455114/ref=zg_bs_g_books_sccl_7/137-7391295-0351748?psc=1,yes
58,https://www.amazon.com.mx/Disney-Baby-Biblioteca-personajes-Incre%C3%ADbles/dp/1503733378/ref=zg_bs_g_books_sccl_8/137-7391295-0351748?psc=1,yes
59,https://www.amazon.com.mx/Jumbo-actividades-Esponja-Varios-Autores/dp/607211315X/ref=zg_bs_g_books_sccl_9/137-7391295-0351748?psc=1,yes
60,https://www.amazon.com.mx/disciplina-marcar%C3%A1-destino-poder-autocontrol/dp/6073825242/ref=zg_bs_g_books_sccl_10/137-7391295-0351748?psc=1,yes
61,https://www.amazon.com.mx/Colores-Elmer-David-Mckee/dp/968166065X/ref=zg_bs_g_books_sccl_11/137-7391295-0351748?psc=1,yes
62,https://www.amazon.com.mx/El-mito-S%C3%ADsifo-Albert-Camus/dp/6073826338/ref=zg_bs_g_books_sccl_12/137-7391295-0351748?psc=1,yes
63,https://www.amazon.com.mx/SOBRENATURAL-MEX-NUEVO-ISBN-Dispenza/dp/607748167X/ref=zg_bs_g_books_sccl_13/137-7391295-0351748?psc=1,yes
64,https://www.amazon.com.mx/El-mundo-Sof%C3%ADa-Jostein-Gaarder/dp/6074383987/ref=zg_bs_g_books_sccl_14/137-7391295-0351748?psc=1,yes
65,https://www.amazon.com.mx/El-problema-final-Arturo-P%C3%A9rez-Reverte/dp/6073835353/ref=zg_bs_g_books_sccl_15/137-7391295-0351748?psc=1,yes
66,https://www.amazon.com.mx/El-laberinto-soledad-Postdata-Popular/dp/6071662796/ref=zg_bs_g_books_sccl_16/137-7391295-0351748?psc=1,yes
67,https://www.amazon.com.mx/inteligencia-emocional-Daniel-Goleman/dp/6073167717/ref=zg_bs_g_books_sccl_17/137-7391295-0351748?psc=1,yes
68,https://www.amazon.com.mx/Los-Secretos-Mente-Millonaria-interior/dp/8478086080/ref=zg_bs_g_books_sccl_18/137-7391295-0351748?psc=1,yes
69,https://www.amazon.com.mx/Ardilla-Tiene-Hambre-Satoshi-Kitamura/dp/9681655397/ref=zg_bs_g_books_sccl_19/137-7391295-0351748?psc=1,yes
70,https://www.amazon.com.mx/Siete-maridos-Evelyn-Lugo-Los/dp/6077482366/ref=zg_bs_g_books_sccl_20/137-7391295-0351748?psc=1,yes
71,https://www.amazon.com.mx/Las-batallas-en-el-desierto/dp/6074450552/ref=zg_bs_g_books_sccl_21/137-7391295-0351748?psc=1,yes
72,https://www.amazon.com.mx/Invisible-Eloy-Moreno/dp/6073188994/ref=zg_bs_g_books_sccl_22/137-7391295-0351748?psc=1,yes
73,https://www.amazon.com.mx/peor-se%C3%B1ora-del-mundo/dp/968164705X/ref=zg_bs_g_books_sccl_23/137-7391295-0351748?psc=1,yes
74,https://www.amazon.com.mx/Todo-cristal-Rafael-P%C3%A9rez-Gay/dp/6073904959/ref=zg_bs_g_books_sccl_24/137-7391295-0351748?psc=1,yes
75,https://www.amazon.com.mx/Tribu-lectoras-Asociaci%C3%B3n-Librosb4tipos/dp/6073830203/ref=zg_bs_g_books_sccl_25/137-7391295-0351748?psc=1,yes
76,https://www.amazon.com.mx/%C3%81lgebra-4a-Edici%C3%B3n-Aurelio-Baldor/dp/6075502092/ref=zg_bs_g_books_sccl_26/137-7391295-0351748?psc=1,yes
77,https://www.amazon.com.mx/Jumbo-Temporada-Graciela-Iniesta-Ram%C3%ADrez/dp/6072123546/ref=zg_bs_g_books_sccl_27/137-7391295-0351748?psc=1,yes
78,https://www.amazon.com.mx/El-principito-EDICION-UNICA-COMPLETA/dp/6073803761/ref=zg_bs_g_books_sccl_28/137-7391295-0351748?psc=1,yes
79,https://www.amazon.com.mx/Hay-triceratops-casa-del-%C3%A1rbol/dp/6072107796/ref=zg_bs_g_books_sccl_29/137-7391295-0351748?psc=1,yes
80,https://www.amazon.com.mx/Vibra-brilla-siempre-Luisa-Altamirano/dp/607748766X/ref=zg_bs_g_books_sccl_30/137-7391295-0351748?psc=1,yes
